"","columns","Rows","Values"
"1","dimanche","casual",2043.63433175399
"2","dimanche","member",841.935515780774
"3","jeudi","casual",1533.02382499669
"4","jeudi","member",737.619101303045
"5","lundi","casual",1751.38047678904
"6","lundi","member",736.253128532342
"7","mardi","casual",1549.51894534064
"8","mardi","member",727.817117381176
"9","mercredi","casual",1485.13190250019
"10","mercredi","member",726.336351453508
"11","samedi","casual",1957.07254877095
"12","samedi","member",848.457281058374
"13","vendredi","casual",1682.81100915238
"14","vendredi","member",751.897771335464
