month;members;Values
janvier;casual;1822.942593
janvier;member;718.9074582
février;casual;1602.65672
février;member;684.3535619
mars;casual;1957.521697
mars;member;717.5366881
avril;casual;1772.211981
avril;member;689.5780451
mai;casual;1852.361707
mai;member;802.0458689
juin;casual;1926.091434
juin;member;840.0232957
juillet;casual;1756.873511
juillet;member;823.1639758
août;casual;1758.790928
août;member;803.125159
septembre;casual;1679.297458
septembre;member;778.6191699
octobre;casual;1583.457765
octobre;member;717.5951999
novembre;casual;1278.090459
novembre;member;667.9508262
décembre;casual;1337.463233
décembre;member;637.2204659
